"","entry","floor","building","house","cert","neighborhood"
"1","E","1","Not Main","Currier","Green","Quad"
"2","C","2","Main","Adams","Green","Central"
"3","A","2","Not Main","Currier","Silver","Quad"
"4","C","2","Not Main","Kirkland","Silver","West"
"5","C","2","Not Main","Adams","Green","Central"
"6","E","3","Not Main","Dunster","Gold","East"
"7","D","1","Not Main","Leverett","Silver","East"
"8","B","2","Main","Leverett","Green","East"
"9","C","2","Not Main","Cabot","Green","Quad"
"10","E","3","Not Main","Eliot","Silver","West"
"11","E","2","Not Main","Dunster","Green","East"
"12","D","2","Not Main","Leverett","Gold","East"
"13","B","2","Main","Leverett","Silver","East"
"14","B","2","Main","Winthrop","Green","West"
"15","B","3","Main","Eliot","Green","West"
"16","B","2","Not Main","Pfoho","Silver","Quad"
"17","E","1","Not Main","Leverett","Green","East"
"18","E","1","Main","Pfoho","Silver","Quad"
"19","D","1","Main","Pfoho","Green","Quad"
"20","C","3","Main","Cabot","Green","Quad"
"21","D","1","Main","Pfoho","Silver","Quad"
"22","E","2","Not Main","Kirkland","Green","West"
"23","A","2","Not Main","Winthrop","Silver","West"
"24","E","2","Main","Cabot","Green","Quad"
"25","B","2","Main","Cabot","Green","Quad"
"26","A","3","Not Main","Kirkland","Gold","West"
"27","C","2","Main","Mather","Green","East"
"28","D","3","Not Main","Mather","Silver","East"
"29","E","2","Not Main","Quincy","Green","Central"
"30","E","2","Not Main","Currier","Green","Quad"
"31","D","2","Main","Eliot","Green","West"
"32","B","1","Main","Leverett","Silver","East"
"33","B","2","Not Main","Dunster","Gold","East"
"34","C","3","Main","Dunster","Green","East"
"35","A","3","Not Main","Dunster","Green","East"
"36","B","1","Main","Dunster","Green","East"
"37","C","1","Main","Lowell","Green","Central"
"38","E","2","Main","Dunster","Green","East"
"39","A","1","Not Main","Dunster","Silver","East"
"40","C","3","Not Main","Cabot","Gold","Quad"
"41","E","2","Main","Currier","Green","Quad"
"42","D","1","Not Main","Cabot","Green","Quad"
"43","D","1","Not Main","Lowell","Silver","Central"
